Joint Index,MJAE,MJPE
1,32.10912585373786,0.410185261428274
2,112.33041417652164,0.6367763362937904
3,23.055955288082053,0.3012474680233559
4,38.31161183339962,0.568314349902583
5,108.46673087373289,0.6030853020603532
6,16.339952470369564,0.32213541896009995
7,35.622009975952906,0.20624027403493997
8,36.79616984703146,0.28434367776499764
9,79.19749644729308,56.289115779768906
10,39.812409567146624,0.40283800131311376
11,30.06549951466848,0.17135523161541472
12,38.42706881205891,0.3329508427664937
13,36.92742406357901,0.8024244619830101
14,21.05978603010527,0.122258151913455
15,49.62449459333703,0.3591475875974866
16,36.90817997259769,1.0568632120408075
17,21.110755824435557,0.1969614545108389
18,6.5436278978193645,0.10153693012527883
19,8.42780320895461,0.09567936562124593
20,17.071455341627196,0.21713071023742855
21,42.055746505379375,0.3917599753343223
22,34.89854927968146,0.5419176352760865
23,24.37325981147122,0.23342732667426055
